,Stops,arrival,departure,attente
0,Paris-Gare-de-Lyon (Paris),15h46,15h46,00min
1,Creusot - TGV (le) (Écuisses),17h07,17h10,03min
2,Mâcon-Loché-TGV (Mâcon),17h28,17h31,03min
3,Lyon-Part-Dieu (Lyon),17h56,18h01,05min
4,Lyon-Perrache (Lyon),18h09,18h09,00min
