,id,codes-type,codes-value,Latitude,Longitude,label,links,name,timezone,admin-regions
0,stop_area:OCE:SA:87640755,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-640755-HR', '87640755', 'OCE87640755']",43.155629,2.316045,Couffoulens-Leuc-RD104 (Couffoulens),[],Couffoulens-Leuc-RD104,Europe/Paris,['Couffoulens']
1,stop_area:OCE:SA:87116731,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-116731-BV', '87116731', 'OCE87116731']",48.88265,2.85406,Couilly-St-Germ.-Quincy (Saint-Germain-sur-Morin),[],Couilly-St-Germ.-Quincy,Europe/Paris,['Saint-Germain-sur-Morin']
2,stop_area:OCE:SA:87615203,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-615203-00', '87615203', 'OCE87615203']",42.9426,2.248326,Couiza-Montazels (Montazels),[],Couiza-Montazels,Europe/Paris,['Montazels']
3,stop_area:OCE:SA:87640714,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-640714-HR', '87640714', 'OCE87640714']",42.941446,2.253671,Couiza-Ste-Anne (Couiza),[],Couiza-Ste-Anne,Europe/Paris,['Couiza']
4,stop_area:OCE:SA:87696831,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-696831-00', '87696831', 'OCE87696831']",47.527366,3.547154,Coulanges-Sur-Yonne (Crain),[],Coulanges-Sur-Yonne,Europe/Paris,['Crain']
5,stop_area:OCE:SA:87314534,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-314534-00', '87314534', 'OCE87314534']",47.699165,2.492493,Coullons (Saint-Florent),[],Coullons,Europe/Paris,['Saint-Florent']
6,stop_area:OCE:SA:87116301,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-116301-00', '87116301', 'OCE87116301']",48.807769,3.082047,Coulommiers (Coulommiers),[],Coulommiers,Europe/Paris,['Coulommiers']
7,stop_area:OCE:SA:87382200,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-382200-00', '87382200', 'OCE87382200']",48.898251,2.247971,Courbevoie (Courbevoie),[],Courbevoie,Europe/Paris,['Courbevoie']
8,stop_area:OCE:SA:87688960,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-688960-HR', '87688960', 'OCE87688960']",47.249675,0.876338,Courcay-Eglise (Cour̤ay),[],Courcay-Eglise,Europe/Paris,['Cour̤ay']
9,stop_area:OCE:SA:87644104,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-644104-HR', '87644104', 'OCE87644104']",47.237889,0.866435,Courcay-Rouvre (Cour̤ay),[],Courcay-Rouvre,Europe/Paris,['Cour̤ay']
10,stop_area:OCE:SA:87571448,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-571448-00', '87571448', 'OCE87571448']",47.237832,0.867626,Courcay-Tauxigny (Cour̤ay),[],Courcay-Tauxigny,Europe/Paris,['Cour̤ay']
11,stop_area:OCE:SA:87342063,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-342063-00', '87342063', 'OCE87342063']",50.169552,2.787893,Courcelles-le-Comte (Courcelles-le-Comte),[],Courcelles-le-Comte,Europe/Paris,['Courcelles-le-Comte']
12,stop_area:OCE:SA:87192211,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-192211-00', '87192211', 'OCE87192211']",49.063231,6.31121,Courcelles-sur-Nied (Courcelles-sur-Nied),[],Courcelles-sur-Nied,Europe/Paris,['Courcelles-sur-Nied']
13,stop_area:OCE:SA:85001412,"['CR-CI-CH', 'UIC8', 'external_code']","['0085-001412-BV', '85001412', 'OCE85001412']",47.439849,7.057605,Courchavon (Courchavon),[],Courchavon,Europe/Paris,['Courchavon']
14,stop_area:OCE:SA:87171710,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-171710-00', '87171710', 'OCE87171710']",49.329158,4.014949,Courcy-Brimont (Courcy),[],Courcy-Brimont,Europe/Paris,['Courcy']
15,stop_area:OCE:SA:85001214,"['CR-CI-CH', 'UIC8', 'external_code']","['0085-001214-BV', '85001214', 'OCE85001214']",47.335413,7.291744,Courfaivre (Haute-Sorne),[],Courfaivre,Europe/Paris,['Haute-Sorne']
16,stop_area:OCE:SA:85001255,"['CR-CI-CH', 'UIC8', 'external_code']","['0085-001255-BV', '85001255', 'OCE85001255']",47.404914,7.124211,Courgenay (Courgenay),[],Courgenay,Europe/Paris,['Courgenay']
17,stop_area:OCE:SA:87271304,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-271304-BV', '87271304', 'OCE87271304']",48.924176,2.384714,Courneuve-Aubervilliers (La Courneuve),[],Courneuve-Aubervilliers,Europe/Paris,['La Courneuve']
18,stop_area:OCE:SA:87734525,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-734525-BV', '87734525', 'OCE87734525']",45.757656,3.544056,Courpi̬re (Courpi̬re),[],Courpi̬re,Europe/Paris,['Courpi̬re']
19,stop_area:OCE:SA:87781161,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-781161-00', '87781161', 'OCE87781161']",43.233712,3.050866,Coursan (Coursan),[],Coursan,Europe/Paris,['Coursan']
20,stop_area:OCE:SA:87139907,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-139907-00', '87139907', 'OCE87139907']",48.079717,3.830265,Coursan-en-Othe (Coursan-en-Othe),[],Coursan-en-Othe,Europe/Paris,['Coursan-en-Othe']
21,stop_area:OCE:SA:87643999,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-643999-HR', '87643999', 'OCE87643999']",48.079445,1.136053,Courtalain-Centre (Commune nouvelle d'Arrou),[],Courtalain-Centre,Europe/Paris,"[""Commune nouvelle d'Arrou""]"
22,stop_area:OCE:SA:87394494,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-394494-00', '87394494', 'OCE87394494']",48.073829,1.126935,Courtalain-St-Pellerin (Commune nouvelle d'Arrou),[],Courtalain-St-Pellerin,Europe/Paris,"[""Commune nouvelle d'Arrou""]"
23,stop_area:OCE:SA:85001271,"['CR-CI-CH', 'UIC8', 'external_code']","['0085-001271-BV', '85001271', 'OCE85001271']",47.456248,7.055445,Courtemaiche (Basse-Allaine),[],Courtemaiche,Europe/Paris,['Basse-Allaine']
24,stop_area:OCE:SA:85001206,"['CR-CI-CH', 'UIC8', 'external_code']","['0085-001206-BV', '85001206', 'OCE85001206']",47.34292,7.317955,Court̩telle (Court̩telle),[],Court̩telle,Europe/Paris,['Court̩telle']
25,stop_area:OCE:SA:87765180,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-765180-BV', '87765180', 'OCE87765180']",44.089995,4.888176,Courth̩zon (Courth̩zon),[],Courth̩zon,Europe/Paris,['Courth̩zon']
26,stop_area:OCE:SA:88960080,"['CR-CI-CH', 'UIC8', 'external_code']","['0088-960088-BV', '88960080', 'OCE88960080']",50.824469,3.264444,Courtrai/Kortrijk (Kortrijk),[],Courtrai/Kortrijk,Europe/Paris,['Kortrijk']
27,stop_area:OCE:SA:87394221,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-394221-00', '87394221', 'OCE87394221']",48.451359,1.234934,Courville-sur-Eure (Courville-sur-Eure),[],Courville-sur-Eure,Europe/Paris,['Courville-sur-Eure']
28,stop_area:OCE:SA:87718270,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-718270-00', '87718270', 'OCE87718270']",46.535157,5.38705,Cousance (Cousance),[],Cousance,Europe/Paris,['Cousance']
29,stop_area:OCE:SA:87592840,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-592840-00', '87592840', 'OCE87592840']",45.507726,1.310995,Coussac-Bonneval (Coussac-Bonneval),[],Coussac-Bonneval,Europe/Paris,['Coussac-Bonneval']
30,stop_area:OCE:SA:87447110,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-447110-00', '87447110', 'OCE87447110']",49.042797,-1.441267,Coutances (Coutances),[],Coutances,Europe/Paris,['Coutances']
31,stop_area:OCE:SA:87584516,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-584516-BV', '87584516', 'OCE87584516']",45.036654,-0.131429,Coutras (Coutras),[],Coutras,Europe/Paris,['Coutras']
32,stop_area:OCE:SA:87337006,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-337006-00', '87337006', 'OCE87337006']",44.736036,4.623787,Coux-centre (Coux),[],Coux-centre,Europe/Paris,['Coux']
33,stop_area:OCE:SA:87721241,"['CR-CI-CH', 'UIC8', 'external_code']","['0087-721241-00', '87721241', 'OCE87721241']",45.848701,4.829517,Couzon-au-Mont-d'Or (Couzon-au-Mont-d'Or),[],Couzon-au-Mont-d'Or,Europe/Paris,"[""Couzon-au-Mont-d'Or""]"
