,Stops,arrival,departure,attente
0,Paris-Gare-de-Lyon (Paris),21h00:00,21h00:00,00min
1,Lyon-Part-Dieu (Lyon),22h56:00,23h01:00,05min
2,Lyon-Perrache (Lyon),23h09:00,23h09:00,00min
